competitor,feature,mentions,pos,neg,sentiment,freq_norm,score
TallyPrime,Purchasing & Procurement,28,4,0,1.0,0.8403,4.62
TallyPrime,Payroll & HR,42,6,1,0.7143,0.8535,4.42
TallyPrime,Reporting & Analytics,41,19,2,0.8095,0.9245,4.67
TallyPrime,Tax & Compliance (GST/VAT),49,29,2,0.871,0.9676,4.82
TallyPrime,Automation & Workflow,5,1,0,1.0,0.4857,3.77
TallyPrime,Integrations & API,24,4,1,0.6,0.7799,4.15
TallyPrime,Multi-company / Branch,0,0,0,0.0,0.0,1.8
TallyPrime,Customization & Extensibility,49,12,4,0.5,0.8063,4.14
TallyPrime,Usability & UX,82,54,5,0.8305,0.8228,4.44
TallyPrime,Support & Service,47,10,2,0.6667,0.8582,4.39
TallyPrime,Pricing & Value,59,9,4,0.3846,0.895,4.26
TallyPrime,Performance & Reliability,19,21,3,0.75,0.9692,4.73
TallyPrime,Implementation & Onboarding,4,0,0,0.0,0.5466,3.11
QuickBooks Online,Accounting & GL,9,1,3,-0.5,0.9603,3.7
QuickBooks Online,AR/AP & Invoicing,45,8,1,0.7778,0.8688,4.51
QuickBooks Online,Inventory & Warehouse,25,2,4,-0.3333,0.9401,3.79
QuickBooks Online,Manufacturing & MRP,0,0,0,0.0,0.0,1.8
QuickBooks Online,Sales & CRM,94,48,26,0.2973,0.9432,4.3
QuickBooks Online,Purchasing & Procurement,27,3,1,0.5,0.8315,4.2
QuickBooks Online,Payroll & HR,81,42,22,0.3125,1.0,4.45
QuickBooks Online,Reporting & Analytics,47,10,4,0.4286,0.9575,4.44
QuickBooks Online,Tax & Compliance (GST/VAT),23,8,3,0.4545,0.7861,4.05
QuickBooks Online,Automation & Workflow,13,7,1,0.75,0.7154,4.12
QuickBooks Online,Integrations & API,42,9,7,0.125,0.9113,4.09
QuickBooks Online,Multi-company / Branch,0,0,0,0.0,0.0,1.8
QuickBooks Online,Customization & Extensibility,90,51,25,0.3421,0.9297,4.3
QuickBooks Online,Usability & UX,214,84,40,0.3548,1.0,4.48
QuickBooks Online,Support & Service,90,59,21,0.475,1.0,4.58
QuickBooks Online,Pricing & Value,89,44,22,0.3333,0.9836,4.43
QuickBooks Online,Performance & Reliability,21,8,11,-0.1579,1.0,4.07
QuickBooks Online,Implementation & Onboarding,18,11,2,0.6923,1.0,4.75
Zoho Books,Accounting & GL,10,0,0,0.0,1.0,4.2
Zoho Books,AR/AP & Invoicing,81,12,4,0.5,1.0,4.6
Zoho Books,Inventory & Warehouse,31,3,0,1.0,1.0,5.0
Zoho Books,Manufacturing & MRP,1,0,0,0.0,0.2398,2.38
Zoho Books,Sales & CRM,115,27,6,0.6364,0.9845,4.67
Zoho Books,Purchasing & Procurement,42,2,1,0.3333,0.9386,4.32
Zoho Books,Payroll & HR,55,25,6,0.6129,0.9135,4.48
Zoho Books,Reporting & Analytics,56,9,1,0.8,1.0,4.84
Zoho Books,Tax & Compliance (GST/VAT),46,4,0,1.0,0.9523,4.89
Zoho Books,Automation & Workflow,39,2,0,1.0,1.0,5.0
Zoho Books,Integrations & API,61,13,5,0.4444,1.0,4.56
Zoho Books,Multi-company / Branch,0,0,0,0.0,0.0,1.8
Zoho Books,Customization & Extensibility,98,26,6,0.625,0.9471,4.57
Zoho Books,Usability & UX,97,43,11,0.5926,0.8537,4.32
Zoho Books,Support & Service,76,21,6,0.5556,0.963,4.56
Zoho Books,Pricing & Value,92,21,7,0.5,0.9908,4.58
Zoho Books,Performance & Reliability,9,7,2,0.5556,0.7449,4.03
Zoho Books,Implementation & Onboarding,8,2,0,1.0,0.7462,4.39
Busy Accounting,Accounting & GL,4,0,0,0.0,0.6712,3.41
Busy Accounting,AR/AP & Invoicing,47,7,1,0.75,0.8785,4.51
Busy Accounting,Inventory & Warehouse,26,2,2,0.0,0.951,4.08
Busy Accounting,Manufacturing & MRP,5,1,0,1.0,0.6199,4.09
Busy Accounting,Sales & CRM,84,35,5,0.75,0.9201,4.61
Busy Accounting,Purchasing & Procurement,51,2,0,1.0,0.986,4.97
Busy Accounting,Payroll & HR,44,17,1,0.8889,0.8638,4.58
Busy Accounting,Reporting & Analytics,36,6,2,0.5,0.8931,4.34
Busy Accounting,Tax & Compliance (GST/VAT),56,24,5,0.6552,1.0,4.72
Busy Accounting,Automation & Workflow,3,0,0,0.0,0.3758,2.7
Busy Accounting,Integrations & API,19,8,4,0.3333,0.7259,3.81
Busy Accounting,Multi-company / Branch,2,0,0,0.0,1.0,4.2
Busy Accounting,Customization & Extensibility,78,32,4,0.7778,0.9005,4.58
Busy Accounting,Usability & UX,79,45,7,0.7308,0.8159,4.34
Busy Accounting,Support & Service,60,28,3,0.8065,0.9113,4.63
Busy Accounting,Pricing & Value,87,34,8,0.619,0.9787,4.64
Busy Accounting,Performance & Reliability,21,34,7,0.6585,1.0,4.73
Busy Accounting,Implementation & Onboarding,7,2,0,1.0,0.7062,4.29
